title,year,venue,doi,decision
Motion Planning with Slip Prediction Based on Reinforcement Learning,2025,"2025 6th International Conference on Artificial Intelligence, Robotics and Control (AIRC)",10.1109/AIRC64931.2025.11077510,exclude
Multi-Agent Reinforcement Learning for Collaborative Autonomous Vehicle Fleets,2025,"2025 2nd International Conference on Recent Trends in Electrical, Electronics and Computing Technologies (ICRTEECT)",10.1109/ICRTEECT67512.2025.11448842,survey
Multi-Agent Reinforcement Learning for Distributed Cooperative Vehicular Positioning,2025,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2024.3471909,exclude
Multi-Agent Reinforcement Learning for UUV Swarm-Based Capture with Opponent Modeling,2025,OCEANS 2025 Brest,10.1109/OCEANS58557.2025.11104771,exclude
Multi-Agent Tsallis Actor?�Critic for Autonomous Vehicle Fleet Coordination on Road Graph Networks,2025,"2025 25th International Conference on Control, Automation and Systems (ICCAS)",10.23919/ICCAS66577.2025.11301391,exclude
Multi-Objective Multi-Agent Deep Reinforcement Learning for Dynamic Pricing and RideSharing Optimization,2025,2025 IEEE 28th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC60802.2025.11423559,exclude
Multi-Objective Route Optimization via Dueling DQN for Teleoperated Driving,2025,GLOBECOM 2025 - 2025 IEEE Global Communications Conference,10.1109/GLOBECOM59602.2025.11432339,include
Multi-agent Reinforcement Learning for Robotized Coral Reef Sample Collection,2025,2025 IEEE 21st International Conference on Automation Science and Engineering (CASE),10.1109/CASE58245.2025.11163743,exclude
Multiagent Virtual Community Drill Approach Based on Asynchronous Advantage Actor-Critic Paradigm,2025,"2025 6th International Conference on Computer Science, Engineering, and Education (CSEE)",10.1109/CSEE64583.2025.00024,borderline
Multilevel-Attention-Driven Decision-Making Framework for Unsignalized Intersections Based on Dual-Buffer Soft Actor?�Critic,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3585919,exclude
Multiobjective Vehicle Routing Optimization With Time Windows: A Hybrid Approach Using Deep Reinforcement Learning and NSGA-II,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2024.3515997,exclude
Neuro-Ins: A Learning-Based One-Shot Node Insertion for Dynamic Routing Problems,2025,IEEE Transactions on Knowledge and Data Engineering,10.1109/TKDE.2025.3580640,exclude
Omniveyor: An Assembled Logistics Sorting System Powered by Reinforcement Learning,2025,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2025.3540511,exclude
On Learning-Based Traffic Monitoring With a Swarm of Drones,2025,2025 European Control Conference (ECC),10.23919/ECC65951.2025.11186821,exclude
On Performance Improvement of Reinforcement Learning for Collision Avoidance in Autonomous Intersections,2025,IEEE Access,10.1109/ACCESS.2025.3626936,exclude
On Scalable Design for User-Centric Multi-Modal Shared E-Mobility Systems using MILP and Modified Dijkstra?�s Algorithm,2025,"2025 IEEE Symposia on Computational Intelligence for Energy, Transport and Environmental Sustainability (CIETES)",10.1109/CIETES63869.2025.10995200,exclude
Online Deep Reinforcement Learning Approach for Solving Dynamic Vehicle Routing Problems with Time Windows,2025,2025 37th Chinese Control and Decision Conference (CCDC),10.1109/CCDC65474.2025.11090772,exclude
Optimal Coordination of UUVs Based on Deep Q-Learning,2025,2025 19th International Conference on Ubiquitous Information Management and Communication (IMCOM),10.1109/IMCOM64595.2025.10857549,exclude
Optimal Guidance for Reusable Launch Vehicle in Reentry Phase Based on Adaptive Dynamic Programming with Experience Replay,2025,2025 44th Chinese Control Conference (CCC),10.23919/CCC64809.2025.11179204,exclude
Optimism Induction Attack on Deep Reinforcement Learning with Control Barrier Function Safety Filter for Autonomous Driving,2025,2025 American Control Conference (ACC),10.23919/ACC63710.2025.11107955,exclude
Optimization of Airline Scheduling Using Reinforcement Learning with PPO Algorithm,2025,2025 8th International Conference on Computer Information Science and Application Technology (CISAT),10.1109/CISAT66811.2025.11181873,exclude
Optimized Backstepping Strategy for Tracking Control of unmanned surface vehicles,2025,2025 6th International Conference on Electrical Technology and Automatic Control (ICETAC),10.1109/ICETAC65964.2025.11144157,exclude
Optimized Formation Control of Nonlinear Systems With Full-State Constraints Using Adaptive Fixed-Time Techniques,2025,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2024.3392936,exclude
Optimized Traffic Management using LoRa?�based Vehicle-to-Vehicle Communication Framework for Emergency Vehicle Routing in Smart Cities,2025,2025 6th International Conference on IoT Based Control Networks and Intelligent Systems (ICICNIS),10.1109/ICICNIS66685.2025.11315499,exclude
Optimizing Intersection Navigation With Multishot Update Mechanism: A Real-Time Distributed Reinforcement Learning for Ground and Aerial Moving Objects,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3589567,borderline
Optimizing Roundabout Management via Deep Reinforcement Learning with Safety and Comfort Constraints,2025,2025 IEEE 28th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC60802.2025.11423692,exclude
Optimizing Rural Liquid Collection Routes: A Constraint-Aware Hybrid Framework Using OR-Tools,2025,2025 11th International Conference on Optimization and Applications (ICOA),10.1109/ICOA66896.2025.11236889,exclude
Optimizing Traffic Flow at Unsignalized Intersections via Centralized Reinforcement Learning for Connected and Autonomous Vehicles,2025,2025 IEEE 28th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC60802.2025.11423494,exclude
Optimizing Urban Traffic Flow with Adaptive Signal Updates Using Proximal Policy Optimization Algorithm,2025,2025 IEEE International Conference on Advanced Computing Technologies (ICACT),10.1109/ICACT67549.2025.11351470,exclude
Optimizing Value of Information for Simultaneous Energy Replenishment and Data Collection in AUV-Assisted UWSNs,2025,ICC 2025 - IEEE International Conference on Communications,10.1109/ICC52391.2025.11161211,exclude
PREDICT: Predictive Resource Reservation and Edge Selection for Reliable Task Offloading in Vehicular Edge Computing,2025,2025 10th International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS),10.1109/ICIIBMS66230.2025.11316788,exclude
Partial Intention Encoding for Safe Multi-Agent Control via Deep Reinforcement Learning,2025,2025 European Control Conference (ECC),10.23919/ECC65951.2025.11186937,exclude
Path Planning Method for Autonomous Driving Vehicles Based on Deep Convolutional Neural Network,2025,2025 IEEE 8th International Conference on Information Systems and Computer Aided Education (ICISCAE),10.1109/ICISCAE66104.2025.11307323,borderline
Predicted State-Based Hierarchical Reinforcement Learning for Long-Term Decision Making in Urban Dynamic Scenarios,2025,2025 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV64158.2025.11097746,exclude
Predicting Steering Angles for Autonomous Vehicles Using Machine Learning,2025,2025 12th International Conference on Computing for Sustainable Global Development (INDIACom),10.23919/INDIACom66777.2025.11115180,exclude
Priority Sequential Inference: Improving Safety for Efficient Autonomous Highway Driving Using MARL,2025,IEEE Sensors Journal,10.1109/JSEN.2025.3529877,exclude
Proactive Urban Expressway Guidance: A Hybrid Approach Using Reinforcement Learning and Traffic Prediction Models,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3583833,include
Q-Learning-Based Dynamic Traffic Routing Optimization for Adaptive Path Selection in Complex Networks,2025,2025 8th International Conference on Computer Information Science and Application Technology (CISAT),10.1109/CISAT66811.2025.11181863,exclude
Q-Learning-Based Energy-Aware Route Planning for Electric Vehicles on Real Road Networks with Charging Constraints,2025,2025 Innovations in Intelligent Systems and Applications Conference (ASYU),10.1109/ASYU67174.2025.11208423,include
RL-assisted Model Predictive Control for Automated Parking Systems,2025,2025 IEEE International Conference on Unmanned Systems (ICUS),10.1109/ICUS66297.2025.11294004,exclude
RRT* Path Planning Enhanced with DQN-Based Local Optimization,2025,2025 5th International Conference on Electronic Materials and Information Engineering (EMIE),10.1109/EMIE67682.2025.11369386,exclude
Rapid Solution for Flexible Pickup and Delivery Services Problem Based on Improved Actor-Critic Deep Reinforcement Learning,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3559941,exclude
Real-Time Charging and Routing for Electric Long-Haul Trucks via Reinforcement Learning,2025,2025 IEEE Energy Conversion Conference Congress and Exposition (ECCE),10.1109/ECCE58356.2025.11259996,exclude
Real-Time Dispatching and Operation Management of Battery Swapping Stations With Uncertain Demand via Deep Reinforcement Learning,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3560929,exclude
Real-Time Driving Style Integration in Deep Reinforcement Learning for Traffic Signal Control,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3563907,exclude
Real-Time Emergency Vehicle Detection and Response in AVS,2025,2025 International Conference on Intelligent Systems and Pioneering Innovations in Robotics and Electric Mobility (INSPIRE),10.1109/INSPIRE67328.2025.11300570,borderline
Real-Time Flight Path Optimization: Enhancing Efficiency in Modern Aviation,2025,2025 3rd International Conference on Inventive Computing and Informatics (ICICI),10.1109/ICICI65870.2025.11069767,exclude
"Real-Time Planning of Route, Speed, and Charging for Electric Delivery Vehicles: A Deep Reinforcement Learning Approach",2025,IEEE Transactions on Transportation Electrification,10.1109/TTE.2024.3523922,exclude
Reinforcement Learning Based Optimization for Road-Side-Units Placement Along Highways,2025,"2025 11th International Conference on Control, Decision and Information Technologies (CoDIT)",10.1109/CoDIT66093.2025.11321604,exclude
Reinforcement Learning Controller Design for Underwater Rescue Vehicle,2025,2025 International Conference on Robotics and Mechatronics (ICRM),10.1109/ICRM66809.2025.11349007,exclude
Reinforcement Learning based Hovering Control of a Buoyancy Driven Unmanned Underwater Vehicle with Discrete Inputs,2025,2025 10th International Conference on Control and Robotics Engineering (ICCRE),10.1109/ICCRE65455.2025.11093534,exclude
Reinforcement Learning for Airport Slot Allocation: Incorporating Fairness and Trade-off Analysis,2025,"2025 Integrated Communications, Navigation and Surveillance Conference (ICNS)",10.1109/ICNS65417.2025.10976764,exclude
Reinforcement Learning for Dynamic Traffic Management: A Scalable Approach to Congestion Reduction,2025,"2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)",10.1109/ACDSA65407.2025.11165977,include
Reinforcement Learning for Mid-to-Mid Motion Planning in Autonomous Driving,2025,2025 IEEE 28th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC60802.2025.11423801,exclude
Reinforcement Learning for Real-Time Decision Making in Autonomous Systems,2025,2025 Global Conference on Information Technology and Communication Networks (GITCON),10.1109/GITCON65266.2025.11377057,survey
Reinforcement Learning for Solving Open Vehicle Routing Problem with Time Window: A Gated Focused Attention Method,2025,2025 44th Chinese Control Conference (CCC),10.23919/CCC64809.2025.11179614,exclude
Reinforcement Learning in TrackMania,2025,"2025 5th International Conference on Computer Science, Electronic Information Engineering and Intelligent Control Technology (CEI)",10.1109/CEI66465.2025.11398478,exclude
Reinforcement Learning-Based Dynamic Routing Strategy for LEO Satellite Networks,2025,GLOBECOM 2025 - 2025 IEEE Global Communications Conference,10.1109/GLOBECOM59602.2025.11431922,exclude
Reinforcement Learning-Based Water-Exit Attitude Control for Cross-Media Vehicles,2025,2025 International Conference of Mechanical Engineering on Aerospace (CoMEA),10.1109/CoMEA66280.2025.11241710,exclude
Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment,2025,arXiv.org,,include
Reinforcement-learning-based Navigation and Path Tracking Control for Orchard Unmanned Vehicles,2025,2025 30th International Conference on Automation and Computing (ICAC),10.1109/ICAC65379.2025.11196331,exclude
Research on Dynamic Waste Collection Routing Optimization Based on Deep Learning and Incremental Reinforcement Learning,2025,2025 6th International Conference on Computer Engineering and Intelligent Control (ICCEIC),10.1109/ICCEIC67916.2025.11308838,exclude
Research on Emergency Rescue Path Optimization Method Based on Deep Reinforcement Learning,2025,2025 IEEE 3rd International Conference on Image Processing and Computer Applications (ICIPCA),10.1109/ICIPCA65645.2025.11139059,include
Research on Intelligent Algorithms for Path Planning of Driverless Vehicles and their Applications,2025,2025 5th International Conference on Consumer Electronics and Computer Engineering (ICCECE),10.1109/ICCECE65250.2025.10985327,exclude
Research on Urban Combat Tactical-Level Action Prediction Model Based on Dynamic Force Fields and Deep Reinforcement Learning,2025,2025 2nd International Conference on Electronic Engineering and Information Systems (EEISS),10.1109/EEISS65394.2025.11085653,exclude
Research on multi-source information fusion perception and path optimization algorithm of new energy vehicle-intelligent connected vehicle,2025,"International Conference on Electronics and Devices, Computational Science (ICEDCS 2025)",10.1049/icp.2025.4006,borderline
Research on vehicle path planning algorithm for intelligent garage based on deep learning,2025,"2025 IEEE 7th International Conference on Communications, Information System and Computer Engineering (CISCE)",10.1109/CISCE65916.2025.11065905,exclude
Resilience Improvement Strategy for the Power-Transportation Coupled Network Based on Safe Reinforcement Learning,2025,2025 6th International Conference on Power Engineering (ICPE),10.1109/ICPE68635.2025.11407922,exclude
Resilient Routing for Satellite-Terrestrial Integrated Networks via Cascaded Two-Time-Scale Deep Reinforcement Learning,2025,GLOBECOM 2025 - 2025 IEEE Global Communications Conference,10.1109/GLOBECOM59602.2025.11432518,exclude
Resource Allocation Based on Transparency-Aware and Traffic Engineering in Power Backbone Elastic Optical Networks,2025,2025 Photonics Global Conference (PGC),10.1109/PGC68487.2025.11319486,exclude
Robust Vehicle Control with Smoothing and Prediction under Delayed Communication,2025,2025 IEEE 101st Vehicular Technology Conference (VTC2025-Spring),10.1109/VTC2025-Spring65109.2025.11174561,exclude
Robustness of Capacitated Vehicle Routing Problem Solvers Under Adversarial Perturbations,2025,2025 International Conference on Data Science and Intelligent Systems (DSIS),10.1109/DSIS67228.2025.11390552,exclude
Routing in Low Earth Orbit Satellite Networks: Constrained DQN-Based Approach,2025,2025 IEEE Wireless Communications and Networking Conference (WCNC),10.1109/WCNC61545.2025.10978162,exclude
SAC-L-Based Cooperative Path Planning for Emergency Vehicles at Signalised Intersections,2025,2025 IEEE 8th International Conference on Information Systems and Computer Aided Education (ICISCAE),10.1109/ICISCAE66104.2025.11307799,MISSING
SG-GAN for Electric Vehicle Road Networks and Q-Learning in Energy Efficient Routing,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3585310,borderline
STPer: Task Scheduling and Traffic Routing with Spatiotemporal Dynamic Perception in Green Computing Power Networks,2025,GLOBECOM 2025 - 2025 IEEE Global Communications Conference,10.1109/GLOBECOM59602.2025.11431840,exclude
Sadak-Setu Legal Routing Pothole Detection and EV Assistance Using Multitask-Transformer and A*,2025,"2025 IEEE 2nd International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)",10.1109/ICITEICS64870.2025.11341705,exclude
Safe Reinforcement Learning for Autonomous Electric Vehicles: A Comparative Analysis of RL,2025,"2025 IEEE 4th International Conference on Robotics, Automation, Artificial-Intelligence and Internet-of-Things (RAAICON)",10.1109/RAAICON69033.2025.11502486,exclude
Safe Reinforcement Learning-Based Visual Servoing Control for Quadrotors Tracking Unknown Ground Vehicles,2025,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2024.3464094,exclude
Safe and Interpretable Human-Like Planning With Transformer-Based Deep Inverse Reinforcement Learning for Autonomous Driving,2025,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2025.3539340,exclude
Safety-Critical Multi-Agent MCTS for Mixed Traffic Coordination at Unsignalized Intersections,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3598727,exclude
Safety-constrained Reinforcement Learning with Interaction-aware for Decision-making of Autonomous Driving,2025,2025 IEEE International Conference on Multimedia and Expo (ICME),10.1109/ICME59968.2025.11209801,exclude
Security-Aware Routing Optimization in TSNs via GCN-based Deep Reinforcement Learning,2025,2025 IEEE/CIC International Conference on Communications in China (ICCC Workshops),10.1109/ICCCWorkshops67136.2025.11148161,exclude
SegFormer-SAC Framework for Safe Landing and Adaptive Exploration in Hazardous Terrains,2025,2025 10th International Conference on Research in Intelligent Computing in Engineering (RICE),10.1109/RICE67503.2025.11439974,exclude
Self Healing of a Mixed Autonomy Traffic System Using Reinforcement Learning and Attention,2025,IEEE Open Journal of Intelligent Transportation Systems,10.1109/OJITS.2025.3606539,exclude
Semantically-Aware Exploration in Zero-Shot Object Goal Navigation via Bayesian Memory,2025,2025 IEEE 28th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC60802.2025.11423594,exclude
Sensing-Assisted Intelligent Transportation System With Adaptive Power Allocation and Automatic Beam Control,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3543702,exclude
Ship Formation and Route Optimization Design Based on Improved PSO and D-P Algorithm,2025,IEEE Access,10.1109/ACCESS.2025.3525591,exclude
Situation-aware Path Optimization for Autonomous Systems: A Deep Reinforcement Learning based Approach,2025,2025 IEEE 9th International Conference on Information and Communication Technology (CICT),10.1109/CICT67193.2025.11399143,include
Smart AI-Driven Framework for Data-Centric Optimization of E-Waste Collection and Intelligent Sorting,2025,"2025 4th International Conference on Automation, Computing and Renewable Systems (ICACRS)",10.1109/ICACRS67045.2025.11324266,exclude
Socialcomm: Socially Communicational Traffic Flow for Driving Policy Generalization to Unseen Environments,2025,2025 44th Chinese Control Conference (CCC),10.23919/CCC64809.2025.11178658,exclude
Solving Heterogeneous Capacitated Vehicle Routing Problem Assisted with Deep Reinforcement Learning,2025,2025 International Conference on Advanced Machine Learning and Data Science (AMLDS),10.1109/AMLDS63918.2025.11159420,exclude
Solving Multiobjective Combinatorial Optimization via Learning to Improve Method,2025,IEEE Transactions on Emerging Topics in Computational Intelligence,10.1109/TETCI.2025.3540424,exclude
Spatio-Temporal Correlated Network State Prediction and Dynamic Routing for Satellite Networks,2025,2025 IEEE Wireless Communications and Networking Conference (WCNC),10.1109/WCNC61545.2025.10978270,exclude
State-incomplete intelligent dynamic multipath routing algorithm in LEO satellite networks,2025,China Communications,10.23919/JCC.fa.2024-0429.202502,exclude
Strengthening Acquiring Knowledge for Optimizing Dynamic Delivery Routes,2025,"2025 International Conference on Intelligent Control, Computing and Communications (IC3)",10.1109/IC363308.2025.10957539,survey
Study on 3D Path Planning of AUV Based on the Reinforcement Learning Method,2025,2025 IEEE International Conference on Mechatronics and Automation (ICMA),10.1109/ICMA65362.2025.11120762,exclude
TOP-Former: A Multi-Agent Transformer Approach for the Team Orienteering Problem,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3566157,exclude
TS-V2X: Trust-Based Safety V2X Middleware for Adaptive Situation Awareness in Autonomous Driving,2025,2025 IEEE 45th International Conference on Distributed Computing Systems Workshops (ICDCSW),10.1109/ICDCSW63273.2025.00040,exclude
Temporal and Spatial Attention-Based Reinforcement Learning for Vehicle Routing Problem With Mixed Backhauls and Late Penalties,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3591794,exclude
Test Case design for Context-Aware Autonomous vehicles: An in-silico experiment to observe the effects of unknown-knowns in test cases,2025,"2025 International Conference on Software, Knowledge, Information Management & Applications (SKIMA)",10.1109/SKIMA66621.2025.11155436,exclude
The Confluence of Evolutionary Computation and Multi-Agent Systems: A Survey,2025,IEEE/CAA Journal of Automatica Sinica,10.1109/JAS.2025.125246,exclude
The Effects of Learning Rate and Discount Factor on the Performance of the Model in Deepracer,2025,2025 7th International Conference on Intelligent Sustainable Systems (ICISS),10.1109/ICISS63372.2025.11076476,exclude
The Emergence of Deep Reinforcement Learning for Path Planning,2025,"2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",10.1109/SMC58881.2025.11343694,survey
"Three-Layer Multi-Objective VRP Solver: Modified AGE-MOEA-II, Greedy Split Delivery, and 2-opt",2025,2025 5th International Conference on Electronic and Electrical Engineering and Intelligent System (ICE3IS),10.1109/ICE3IS66769.2025.11281202,exclude
Time-Critical Cooperative Delivery with Unknown Demands,2025,2025 28th International Conference on Computer Supported Cooperative Work in Design (CSCWD),10.1109/CSCWD64889.2025.11033623,exclude
Towards Emergency Scenarios: An Integrated Decision-Making Framework of Multi-Lane Platoon Reorganization,2025,IEEE Transactions on Consumer Electronics,10.1109/TCE.2025.3612821,exclude
Towards the Safe Operation of Autonomous Vehicles in Work Zones,2025,2025 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV64158.2025.11097505,exclude
Trajectory Planning for Autonomous Cars in Low-Structured and Unstructured Environments: A Systematic Review,2025,IEEE Access,10.1109/ACCESS.2025.3551453,survey
Unified Planning Framework With Drivable Area Attention Extraction for Autonomous Driving in Urban Scenarios,2025,IEEE Robotics and Automation Letters,10.1109/LRA.2025.3568308,exclude
Unleashing the Cosmos with Intelligence: AI Pioneering a New Era of Aerospace,2025,2025 4th International Symposium on Aerospace Engineering and Systems (ISAES),10.1109/ISAES66870.2025.11274284,exclude
Unveiling Uncertainty-Aware Autonomous Cooperative Learning Based Planning Strategy,2025,IEEE Robotics and Automation Letters,10.1109/LRA.2025.3621973,exclude
Using Reinforcement Learning to make Self Driving Cars Time Efficient,2025,2025 International Conference on Sensors and Related Networks (SENNET) Special Focus on Digital Healthcare(64220),10.1109/SENNET64220.2025.11135922,exclude
VAE-MLPPO: A Lightweight End-to-End Control Framework for Autonomous Driving in Complex Urban Scenarios,2025,2025 International Conference on Intelligent Control and Computing Science (ICICCS),10.1109/ICICCS67942.2025.11382226,exclude
Vehicle Routing Optimization: Urban Logistics Real-case Application,2025,2025 IEEE 5th International Conference on Smart Information Systems and Technologies (SIST),10.1109/SIST61657.2025.11139222,exclude
Vehicle Routing Problems: From Deterministic Models to Stochastic Solutions,2025,2025 5th International Conference on Electronic and Electrical Engineering and Intelligent System (ICE3IS),10.1109/ICE3IS66769.2025.11281154,survey
VertiSelector: Automatic Curriculum Learning for Wheeled Mobility on Vertically Challenging Terrain,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS60139.2025.11246235,exclude
Zeroth-Order Actor?�Critic: An Evolutionary Framework for Sequential Decision Problems,2025,IEEE Transactions on Evolutionary Computation,10.1109/TEVC.2025.3529503,exclude
λ-Return-Based Aircraft Maneuvering for Terminal Defense and Positioning Guidance Strategies,2025,Journal of Systems Engineering and Electronics,10.23919/JSEE.2025.000112,exclude
"A Comprehensive Review of Named Data Networking: Architectural Principles, Techniques, Applications, Challenges, and AI Integration",2026,2026 IEEE 15th International Conference on Communication Systems and Network Technologies (CSNT),10.1109/CSNT69054.2026.11502176,exclude
A Deep Reinforcement Learning Framework for Centralized Dynamic Routing Optimization via Integrated Link Weight Prediction and Path Selection,2026,IEEE Access,10.1109/ACCESS.2026.3700962,exclude
A Dynamic Redeployment System for Critical Care Paramedic Units in Qatar Utilizing Deep Reinforcement Learning,2026,IEEE Open Journal of Intelligent Transportation Systems,10.1109/OJITS.2025.3642001,exclude
A Geodesic Distance-based Conditional Handover Strategy for LEO Satellite-based Non-Terrestrial Networks,2026,IEEE Transactions on Vehicular Technology,10.1109/TVT.2026.3671367,exclude
A Graph Attention Mechanism-Based Scheme for User Access and Resource Optimization in Heterogeneous Mega-Constellation Networks,2026,IEEE Transactions on Wireless Communications,10.1109/TWC.2025.3620540,exclude
A Hybrid Approach for Predictive Waste Classification and Resource Optimization using Deep Transfer Learning and Reinforcement Learning,2026,2026 IEEE International Conference for Convergence in Computing Technology (I3CTCON),10.1109/I3CTCON68242.2026.11507525,exclude
A Left-turn Planner for Platoon: enabling a smoother unprotected left-turn at an intersection*,2026,IEEE Transactions on Vehicular Technology,10.1109/TVT.2026.3664798,exclude
A MARL-Based Beam Hopping Framework for Dynamic Overflying LEO Satellite Networks,2026,IEEE Internet of Things Journal,10.1109/JIOT.2026.3696854,exclude
A Multi-Agent Deep Reinforcement Learning Framework for Dynamic Path Planning in Autonomous Vehicles,2026,"2026 Sixth International Conference on Advances in Electrical, Computing, Communications and Sustainable Technologies (ICAECT)",10.1109/ICAECT68478.2026.11425999,include
A Multifidelity-Based Ant Colony Optimization Algorithm for Capacitated Electric Vehicle Routing Problems,2026,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3624831,exclude
A Path-Following-Based CAV Motion Planning Framework for Unified Description of Car-Following and Lane-Changing,2026,IEEE Internet of Things Journal,10.1109/JIOT.2025.3637843,exclude
A Real-Time Decision-Making and Motion Planning Framework With Collision Avoidance for Intelligent Vehicle,2026,IEEE Transactions on Vehicular Technology,10.1109/TVT.2025.3616359,exclude
A Resilient AoI-Aware Optimization Framework for Intelligent Transportation Systems Using Deep Reinforcement Learning,2026,IEEE Open Journal of the Communications Society,10.1109/OJCOMS.2026.3707734,borderline
A Service-Oriented Multipath Routing Scheme Based on GNN and RL for Multilayer Satellite Networks,2026,IEEE Transactions on Aerospace and Electronic Systems,10.1109/TAES.2026.3652971,exclude
A Synergistic Hybrid Metaheuristic Paradigm for Operationally Diverse and Large-Scale Multi-Dimensional Vehicle Routing,2026,2026 IEEE 16th Symposium on Computer Applications & Industrial Electronics (ISCAIE),10.1109/ISCAIE68866.2026.11576440,exclude
A Systematic Review of Adversarial Attacks and Defenses for Deep Reinforcement Learning in Autonomous Vehicle Applications,2026,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2026.3666151,survey
A Vision for Intelligent Flow Routing in University Networks Through Digital Twin Integration,2026,"2026 29th Conference on Innovation in Clouds, Internet and Networks (ICIN)",10.1109/ICIN69025.2026.11481804,exclude
A survey on multi-objective path planning for autonomous vehicles: surrogate-assisted optimization and deep reinforcement learning approaches,2026,7th International Conference on Artificial Intelligence and Advanced Manufacturing (AIAM 2025),10.1049/icp.2025.4589,survey
AI-Driven Digital Twin-Based English Empowerment Model for Low-Altitude Economy Safety Training,2026,2026 International Conference on AI in Education Technology and Applications (AIETA),10.1109/AIETA69357.2026.11508966,exclude
APC-Scheduler: Allocation-Planning-Charging Integrated Scheduling System for Cooperative Automated Valet Parking,2026,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2026.3673512,exclude
Actor--Critic-Based Dynamic Event-Triggered Control for Hypersonic Flight Vehicles,2026,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",10.1109/TSMC.2026.3678732,exclude
Adaptive AI Routing in LEO CubeSat Networks to Ensuring Integrity and Resilient Backup Link for CNS/APNT Applications,2026,"2026 Integrated Communications, Navigation and Surveillance Conference (ICNS)",10.1109/ICNS69853.2026.11570640,exclude
Adversarial Reinforcement Learning for Detecting False Data Injection Attacks in Vehicular Routing,2026,2026 ACM/IEEE 17th International Conference on Cyber-Physical Systems (ICCPS),10.1109/ICCPS68698.2026.00013,exclude
Agent-Based Dynamic Vehicle Routing in Urban Logistics under Real-time Traffic Conditions,2026,"2026 IEEE International Conference on Power, Electronics and Green Energy (ICPEGE)",10.1109/ICPEGE67691.2026.11451417,exclude
An AI-Driven Dynamic Route Rationalisation Model for Publicbus Systems,2026,"2026 International Conference on Computing, Sciences and Communications (ICCSC)",10.1109/ICCSC67078.2026.11468653,borderline
An Environmental-Robust Data-Driven Framework for Multi-Agent Pursuit-Evasion Game,2026,2026 38th Chinese Control and Decision Conference (CCDC),10.1109/CCDC69976.2026.11560111,exclude
An Information-Interdependence Deep Reinforcement Learning Path Planning Scheme for AUV With Ocean Currents Utilization,2026,IEEE Transactions on Vehicular Technology,10.1109/TVT.2025.3612768,exclude
An Intelligent Vehicle Path Planning Algorithm Integrating Artificial Potential Field Guidance and D3QN,2026,"2026 9th International Conference on Advanced Electronic Technology, Computers and Software Engineering (AETCSE)",10.1109/AETCSE69203.2026.11503978,borderline
Application of AI in Enterprise Resource Planning (ERP) Systems for Supply Chain Optimization,2026,2026 4th International Conference on Integrated Circuits and Communication Systems (ICICACS),10.1109/ICICACS68679.2026.11578645,exclude
Augmented benchmarks for deep reinforcement learning in solving vehicle routing problems,2026,Journal of Systems Engineering and Electronics,10.23919/JSEE.2026.000107,exclude
Autonomous Driving at Unsignalized Intersections: A Review of Decision-Making Challenges and Reinforcement Learning-Based Solutions,2026,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2025.3646982,survey
Autonomous Underwater Vehicle Safety Path Planning Method Based on Constraint Reinforcement Learning,2026,IEEE Transactions on Vehicular Technology,10.1109/TVT.2025.3612571,exclude
